age,is_disabled,service_type,staff_efficiency_score,time_of_day,actual_duration_min
32,0,Forex,0.9,11,23.9
87,0,Account_Opening,0.81,10,31.0
45,0,Cash_Deposit,1.02,15,5.8
18,0,Loan_Inquiry,1.08,14,18.6
53,0,Lost_Card,0.84,15,16.3
51,0,Fixed_Deposit,1.01,15,22.9
28,0,Lost_Card,1.03,10,12.1
55,1,KYC_Update,1.15,15,13.6
53,0,Lost_Card,0.87,14,13.0
27,0,Loan_Inquiry,1.01,12,16.8
38,0,Forex,1.2,12,13.6
25,0,Cash_Deposit,1.12,15,2.3
52,0,Lost_Card,0.89,16,7.7
76,0,Loan_Inquiry,0.9,13,21.4
72,0,Account_Opening,0.94,11,28.8
24,0,Loan_Inquiry,1.05,15,15.6
26,0,Fixed_Deposit,1.01,9,17.2
86,0,Lost_Card,0.84,15,13.9
38,0,Forex,1.19,11,16.6
56,0,KYC_Update,0.86,11,15.3
87,1,Cash_Deposit,1.04,16,9.7
57,0,KYC_Update,1.15,10,12.0
28,0,Cash_Withdrawal,1.19,11,4.5
88,0,Account_Opening,1.19,12,28.0
57,0,Lost_Card,0.98,16,11.2
61,0,KYC_Update,1.04,9,12.6
27,0,Cash_Deposit,0.89,9,6.0
48,0,Fixed_Deposit,0.89,11,21.4
78,0,Fixed_Deposit,1.12,12,21.2
63,0,Fixed_Deposit,1.15,9,18.3
30,0,Lost_Card,1.12,10,9.8
75,0,Loan_Inquiry,0.91,12,19.3
27,0,Cash_Withdrawal,0.82,9,7.1
48,0,Fixed_Deposit,0.99,15,18.7
25,0,Cash_Deposit,1.19,13,6.6
54,0,Fixed_Deposit,0.86,13,18.6
45,1,Cash_Deposit,1.1,9,6.9
85,0,Cash_Withdrawal,1.14,10,4.7
26,0,KYC_Update,0.96,12,12.0
28,0,Lost_Card,1.17,12,8.3
58,0,Account_Opening,0.85,13,18.3
27,0,Cash_Withdrawal,0.83,12,5.4
82,0,Lost_Card,1.15,12,8.9
87,0,Cash_Deposit,1.07,13,5.9
31,1,Loan_Inquiry,0.91,10,20.8
54,0,Lost_Card,0.88,13,10.2
82,0,Cash_Deposit,0.84,15,7.5
60,0,Forex,0.86,16,22.2
88,0,Cash_Deposit,0.84,11,4.7
88,0,Loan_Inquiry,0.82,14,21.6
23,0,KYC_Update,1.07,10,10.8
70,1,Loan_Inquiry,1.17,12,18.0
38,1,Loan_Inquiry,1.15,9,17.4
70,0,KYC_Update,0.91,10,19.3
66,0,Fixed_Deposit,0.89,16,17.6
47,0,KYC_Update,0.96,13,15.5
26,1,Forex,0.94,15,23.6
60,1,Cash_Withdrawal,1.15,13,2.3
40,0,Forex,0.82,15,22.9
73,0,Cash_Withdrawal,0.95,12,5.9
50,0,Account_Opening,0.8,12,30.0
60,0,Cash_Withdrawal,1.09,13,4.0
82,0,Account_Opening,0.93,13,26.8
66,0,Loan_Inquiry,1.05,13,14.2
69,0,Cash_Deposit,0.92,12,3.9
59,0,Fixed_Deposit,1.07,16,18.5
39,0,Forex,1.01,14,30.0
48,0,KYC_Update,1.12,11,14.5
21,0,Fixed_Deposit,1.04,10,13.0
42,0,Account_Opening,1.0,12,27.9
36,0,Cash_Deposit,1.16,10,4.9
84,0,KYC_Update,1.17,10,11.3
76,0,Fixed_Deposit,1.07,14,26.0
82,0,Fixed_Deposit,1.16,16,15.3
75,0,KYC_Update,1.14,13,11.6
48,0,Cash_Withdrawal,1.09,12,2.5
52,0,Cash_Withdrawal,0.86,12,4.2
45,0,Account_Opening,0.93,16,28.8
71,0,Account_Opening,0.96,9,32.8
66,0,Lost_Card,0.92,15,9.6
71,0,KYC_Update,1.0,13,12.2
61,0,Account_Opening,1.09,16,23.5
34,1,Cash_Deposit,1.16,9,6.3
77,0,Forex,0.95,12,25.0
76,0,Account_Opening,0.91,15,32.6
20,0,Cash_Deposit,1.2,14,5.2
46,0,Cash_Deposit,1.1,12,4.6
37,0,Fixed_Deposit,1.07,12,17.4
77,0,Lost_Card,0.87,10,13.9
57,0,Cash_Deposit,1.17,15,3.8
68,1,KYC_Update,0.83,12,20.1
33,0,Cash_Deposit,0.94,15,7.4
65,0,Lost_Card,0.81,15,14.3
64,0,Fixed_Deposit,1.08,15,17.4
40,0,Forex,1.05,16,11.8
52,0,KYC_Update,1.13,10,12.5
53,0,KYC_Update,1.1,15,10.8
59,0,KYC_Update,0.94,13,14.8
61,0,Forex,1.02,12,25.2
80,0,KYC_Update,1.08,16,13.9
75,0,Cash_Withdrawal,0.92,15,4.8
65,0,Lost_Card,0.97,14,10.0
63,0,Forex,0.92,12,24.0
33,0,Loan_Inquiry,0.88,16,18.2
53,0,Forex,1.19,12,15.7
56,0,Loan_Inquiry,0.91,9,18.7
88,0,Loan_Inquiry,1.06,16,16.4
54,0,Fixed_Deposit,0.94,9,19.4
50,1,Fixed_Deposit,0.85,10,25.8
24,0,Forex,0.83,12,25.0
33,0,Account_Opening,1.04,12,24.8
74,0,Account_Opening,0.92,9,24.2
30,1,KYC_Update,1.05,13,12.5
40,0,Loan_Inquiry,0.8,16,17.5
78,0,KYC_Update,0.92,13,13.6
47,1,KYC_Update,0.97,12,12.1
37,0,Loan_Inquiry,0.83,11,20.8
90,1,Fixed_Deposit,0.85,13,24.1
69,1,Fixed_Deposit,0.98,9,25.8
50,0,KYC_Update,1.18,9,8.1
52,0,Loan_Inquiry,0.99,16,16.5
73,0,Fixed_Deposit,1.19,16,15.2
62,0,Lost_Card,1.07,11,8.9
54,0,Account_Opening,1.13,9,28.9
76,0,Forex,0.93,15,30.5
18,0,Fixed_Deposit,0.97,12,14.4
84,0,Fixed_Deposit,1.05,9,20.3
54,0,Fixed_Deposit,0.85,12,24.8
38,0,Cash_Deposit,1.02,10,5.8
32,0,Cash_Withdrawal,1.06,11,6.0
81,1,Forex,1.0,13,21.5
78,0,Loan_Inquiry,0.95,11,20.4
26,0,Account_Opening,0.94,13,28.3
56,0,Fixed_Deposit,1.15,16,13.4
86,0,Lost_Card,1.02,15,10.5
42,1,KYC_Update,1.03,12,13.9
70,0,Fixed_Deposit,1.08,15,15.9
37,0,Cash_Deposit,0.85,14,7.9
30,0,Fixed_Deposit,0.84,16,23.1
37,0,Forex,0.94,15,23.6
28,0,Account_Opening,1.18,16,22.1
26,0,Forex,1.2,10,17.6
73,1,Cash_Withdrawal,0.98,13,5.3
25,0,Lost_Card,0.97,12,10.0
85,0,Loan_Inquiry,0.87,10,19.4
48,0,Loan_Inquiry,0.89,13,15.3
76,0,Cash_Deposit,1.16,16,6.5
38,0,Lost_Card,1.2,13,6.6
72,0,Fixed_Deposit,1.14,12,22.6
31,0,Lost_Card,1.03,13,9.7
20,1,Account_Opening,0.91,9,38.6
54,0,KYC_Update,1.04,14,10.9
46,0,Forex,1.07,11,14.6
23,0,Fixed_Deposit,0.81,14,19.8
34,0,Forex,0.93,15,24.6
87,0,Lost_Card,1.01,13,12.2
39,0,Fixed_Deposit,1.19,13,15.1
32,0,Cash_Withdrawal,0.86,12,3.7
68,1,Lost_Card,0.84,15,18.1
76,0,Forex,1.03,14,23.5
31,0,Fixed_Deposit,0.81,14,26.3
26,0,Fixed_Deposit,1.16,13,14.4
70,0,Cash_Deposit,1.18,13,5.2
48,0,Loan_Inquiry,0.96,14,17.2
87,0,Loan_Inquiry,1.15,10,18.0
53,0,Lost_Card,0.89,16,8.8
48,0,Cash_Withdrawal,1.19,14,2.0
63,0,Forex,0.88,10,22.3
76,0,KYC_Update,1.06,9,13.9
34,0,KYC_Update,0.83,12,15.0
45,0,KYC_Update,0.93,11,14.8
53,0,Loan_Inquiry,1.2,13,9.2
40,0,Cash_Deposit,0.85,14,6.7
59,0,Forex,0.82,15,24.0
85,0,Cash_Withdrawal,0.99,14,4.5
82,0,Cash_Deposit,1.09,13,5.0
76,0,Cash_Deposit,0.82,16,7.5
31,0,Fixed_Deposit,0.83,10,21.3
59,0,Cash_Withdrawal,0.85,14,4.2
55,0,Account_Opening,0.84,10,37.3
88,0,KYC_Update,0.97,12,10.9
69,0,Cash_Withdrawal,0.93,14,5.9
50,0,Loan_Inquiry,1.07,16,18.3
29,0,Lost_Card,1.12,9,10.5
89,0,Cash_Withdrawal,0.96,15,6.3
54,0,Lost_Card,0.84,12,9.5
37,0,KYC_Update,1.14,14,12.7
53,0,Account_Opening,1.14,9,18.0
52,0,Forex,1.08,13,21.8
41,0,Account_Opening,0.83,9,27.9
29,0,KYC_Update,0.95,16,11.6
59,0,Cash_Withdrawal,1.15,11,4.6
38,0,Cash_Deposit,1.07,13,3.2
74,0,KYC_Update,1.1,10,13.6
62,0,Forex,1.07,16,15.5
46,0,Cash_Deposit,0.8,13,6.0
45,0,Forex,0.92,10,30.5
40,0,KYC_Update,1.0,14,13.4
27,0,Cash_Deposit,0.97,16,7.8
72,0,Account_Opening,0.92,15,27.0
20,1,Loan_Inquiry,1.12,16,18.2
29,0,Cash_Withdrawal,0.9,15,2.9
85,0,Forex,1.1,12,19.2
83,0,KYC_Update,1.16,14,13.7
62,0,Loan_Inquiry,0.89,11,18.7
